fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
1k1r4/p1p3Qp/8/4p3/4n3/1P4P1/P1PP1q1P/R5K1 w - - 0 19,-549,-0.27450,MID,36,19,20,21,25,0,0,13.81,13
1k1r4/p1p3Qp/8/4p3/4n3/1P4P1/P1PP1q1P/R6K b - - 1 19,1002,0.50100,MID,37,19,20,21,25,0,0,14.83,12
1k1r4/p1p3Qp/8/4p3/4n3/1P3qP1/P1PP3P/R6K w - - 2 20,-1217,-0.60850,MID,38,20,20,21,25,0,0,13.28,11
1k1r4/p1p3Qp/8/4p3/4n3/1P3qP1/P1PP3P/R5K1 b - - 3 20,2000,1.00000,MID,39,20,20,21,25,0,1,14.26,21
1k6/p1p3Qp/8/4p3/4n3/1P3qP1/P1Pr3P/R5K1 w - - 0 21,-1064,-0.53200,MID,40,21,19,21,23,0,0,14.72,13
1k3Q2/p1p4p/8/4p3/4n3/1P3qP1/P1Pr3P/R5K1 b - - 1 21,2000,1.00000,MID,41,21,19,21,23,0,1,20.74,24
5Q2/pkp4p/8/4p3/4n3/1P3qP1/P1Pr3P/R5K1 w - - 2 22,663,0.33150,MID,42,22,19,21,23,0,0,12.83,13
7r/pp2ppk1/3p1bp1/2q2P2/4P1PR/2N2b2/PPP3K1/7R w - - 0 26,-635,-0.31750,MID,50,26,19,26,31,0,0,13.96,14
7r/pp2ppk1/3p1bp1/2q2P2/4P1PR/2N2K2/PPP5/7R b - - 0 26,611,0.30550,MID,51,26,19,23,30,0,0,14.33,14
8/pp2ppk1/3p1bp1/2q2P2/4P1Pr/2N2K2/PPP5/7R w - - 0 27,-691,-0.34550,MID,52,27,14,23,29,0,0,13.99,14
8/pp2ppk1/3p1bp1/2q2P2/4P1PR/2N2K2/PPP5/8 b - - 0 27,636,0.31800,MID,53,27,14,18,28,0,0,13.33,12
8/pp2ppk1/3p2p1/2q2P2/4P1Pb/2N2K2/PPP5/8 w - - 0 28,-857,-0.42850,MID,54,28,9,18,27,0,0,15.98,14
8/pp2ppk1/3p2p1/2q2P2/4P1Pb/2N5/PPP1K3/8 b - - 1 28,839,0.41950,MID,55,28,9,18,27,0,0,13.40,14
8/pp2ppk1/3p1bp1/2q2P2/4P1P1/2N5/PPP1K3/8 w - - 2 29,-759,-0.37950,MID,56,29,9,18,27,0,0,13.40,15
8/pp2ppk1/3p1bp1/2q2P2/4P1P1/2NK4/PPP5/8 b - - 3 29,826,0.41300,MID,57,29,9,18,27,0,0,14.45,14
8/r4k2/2p2n1p/1p2R1p1/8/pP1P1bP1/P1P1R2P/2qK4 w - - 0 27,-528,-0.26400,MID,52,27,16,25,28,0,0,15.04,11
8/r4k2/2p2n1p/1p2R1p1/8/pP1P1bP1/P1P1R2P/2K5 b - - 0 27,516,0.25800,END,53,27,16,16,27,1,0,14.09,12
8/r4k2/2p2n1p/1p2R1p1/8/pP1P2P1/P1P1b2P/2K5 w - - 0 28,-532,-0.26600,END,54,28,11,16,26,1,0,15.85,14
8/r4k2/2p2n1p/1p4p1/8/pP1P2P1/P1P1R2P/2K5 b - - 0 28,534,0.26700,END,55,28,11,13,25,1,0,13.75,13
8/r4k2/2p4p/1p1n2p1/8/pP1P2P1/P1P1R2P/2K5 w - - 1 29,-513,-0.25650,END,56,29,11,13,25,1,0,13.44,13
8/r4k2/2p4p/1p1n2p1/2P5/pP1P2P1/P3R2P/2K5 b - - 0 29,518,0.25900,END,57,29,11,13,25,1,0,14.09,13
8/r4k2/2p4p/3n2p1/2p5/pP1P2P1/P3R2P/2K5 w - - 0 30,-465,-0.23250,END,58,30,10,13,23,1,0,14.59,13
8/r4k2/2p4p/3n2p1/2P5/pP4P1/P3R2P/2K5 b - - 0 30,475,0.23750,END,59,30,10,12,21,1,0,14.06,14
r3r1k1/p5pp/Q1p5/4pN2/8/8/PPP2PPP/3qR1K1 w - - 0 25,611,0.30550,MID,48,25,23,24,28,0,0,14.06,13
r3r1k1/p5pp/Q1p5/4pN2/8/8/PPP2PPP/3R2K1 b - - 0 25,-727,-0.36350,MID,49,25,23,15,27,0,0,13.77,14
4rq1k/p1p5/1pQb3p/4N3/3P3P/3P4/PP6/2K4R b - - 0 25,-13,-0.00650,MID,49,25,22,21,24,0,0,14.89,10
