fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
3k4/pp2p3/3p1n2/3P4/PPR5/3n2P1/6KP/8 b - - 4 34,137,0.06850,END,67,34,10,10,21,1,0,13.91,10
2k1r3/pbpp3p/1p2rnp1/8/8/P2BNNP1/1PP3P1/1KR1R3 w - - 3 24,336,0.16800,END,46,24,24,22,31,1,0,13.96,14
6k1/p1qn1pbp/5np1/4p3/P2p4/B1NP2P1/2P1PP1P/1Q3RK1 w - - 0 19,442,0.22100,MID,36,19,27,24,34,0,0,13.21,13
rnbq3r/ppppkBpp/8/2b3B1/3pP1n1/5N2/PPP2PPP/RN1Q1RK1 b - - 2 7,-375,-0.18750,OPEN,13,7,38,38,42,0,0,15.07,12
6k1/5p2/7p/1p2p1q1/p7/3PN3/PPP2PQP/1K6 b - - 2 28,-473,-0.23650,MID,55,28,18,14,25,0,0,13.80,10
1k1r3r/1p3p2/p1p1bn2/3p3p/3P2p1/P3P3/NPRN1PPP/4K2R w K - 0 20,-81,-0.04050,END,38,20,23,23,36,1,0,13.96,9
r3r1k1/pp4p1/2p2p1p/3p4/6b1/5NP1/PPP1B1PP/4RRK1 w - - 4 26,473,0.23650,END,50,26,22,20,33,1,0,15.19,13
2r3k1/8/4p2p/4BP1q/3P2p1/1Q4P1/P1r4P/5RK1 w - - 1 32,232,0.11600,MID,62,32,22,22,22,0,0,12.67,11
8/3R2pk/2p2p2/5P1p/2r4q/Q6P/1P4B1/5RK1 b - - 2 38,-549,-0.27450,MID,75,38,25,18,20,0,0,13.96,12
r1b1kbnr/pp4pp/1qn1pp2/3p4/3P1B2/2P2N2/PP3PPP/RN1QKB1R w KQkq - 1 8,11,0.00550,OPEN,14,8,38,38,42,0,0,12.97,9
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/2P1P3/PP2NPPP/RNBQKB1R b KQkq - 1 4,55,0.02750,OPEN,7,4,39,39,46,0,0,13.96,9
3r1rk1/p4pbp/2Q3p1/8/1p5P/8/PPP1bnP1/2K1R3 b - - 2 23,645,0.32250,MID,45,23,19,24,27,0,0,12.43,13
